date,feature,ic
2025-05-31,ROE,-0.06263234646493969
2025-05-31,GrossMargin,-0.08934350067166703
2025-05-31,CashFlowYield,0.07809946740577135
2025-05-31,RevGrowth_YoY,
2025-05-31,EarnGrowth_YoY,
2025-05-31,LogMktCap,-0.09794319639186337
2025-05-31,VolRatio,0.28063886642523117
2025-06-30,Mom_12_1,-0.1009809781653247
2025-06-30,Mom_6_1,-0.17718610456734993
2025-06-30,Mom_1,0.2421345944235435
2025-06-30,Vol_12,0.07245701627931507
2025-06-30,IdioVol,
2025-06-30,Beta_12,0.14503182025948452
2025-06-30,High52W,
2025-06-30,Trend_MA,
2025-06-30,MaxRet_1M,0.06531943321261559
2025-06-30,PB_ratio,-0.10692528174410962
2025-06-30,PE_TTM,
2025-06-30,EV_EBITDA,
2025-06-30,ROE,-0.0022133559063999856
2025-06-30,GrossMargin,-0.12630793765554757
2025-06-30,CashFlowYield,0.006873885301051582
2025-06-30,RevGrowth_YoY,
