params,score
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.07273333940805092
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.07426207154743612
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.07605809193349194
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.08781564836175516
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.08768905268125222
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.08927775323060812
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.07254939360528019
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.06971240073761346
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.07058266343434076
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.0691407482092787
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.07095555263040976
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.07131571095024375
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.08405544404570257
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.08522284626865517
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.08733020970635323
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.057373587801213856
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.06263430512783993
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.06299833501292512
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.06601105179480253
